time,New Orleans,pts.away,score,pts.home,Houston
6:57.0,A. Ajinca makes 2-pt shot from 2 ft,2,59-59,,
6:48.0,,,59-59,,Shooting foul by A. Ajinca (drawn by J. Harden)
6:48.0,,,59-60,1,J. Harden makes free throw 1 of 2
6:48.0,,,59-61,1,J. Harden makes free throw 2 of 2
6:31.0,A. Davis makes 2-pt shot from 8 ft (assist by N. Cole),2,61-61,,
6:16.0,,,61-61,,T. Lawson misses 2-pt shot from 12 ft
6:15.0,Defensive rebound by T. Evans,,61-61,,
6:07.0,A. Ajinca makes 2-pt shot from 17 ft (assist by T. Evans),2,63-61,,
5:57.0,,,63-61,,Offensive foul by D. Howard
5:57.0,,,63-61,,Turnover by D. Howard (offensive foul)
5:57.0,,,63-61,,Houston full timeout
5:57.0,,,63-61,,C. Brewer enters the game for D. Howard
5:39.0,Turnover by E. Gordon (traveling),,63-61,,
5:29.0,,,63-61,,Shooting foul by A. Ajinca (drawn by T. Jones)
5:29.0,,,63-62,1,T. Jones makes free throw 1 of 2
5:29.0,R. Anderson enters the game for A. Ajinca,,63-62,,
5:29.0,,,63-63,1,T. Jones makes free throw 2 of 2
5:11.0,R. Anderson makes 2-pt shot from 15 ft,2,65-63,,
4:53.0,,,65-63,,Turnover by T. Ariza (bad pass; steal by T. Evans)
4:50.0,Turnover by R. Anderson (bad pass; steal by J. Harden),,65-63,,
4:45.0,,,65-65,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Harden)
4:36.0,Turnover by N. Cole (bad pass; steal by T. Ariza),,65-65,,
4:30.0,,,65-65,,T. Ariza misses 2-pt shot at rim (block by R. Anderson)
4:29.0,Defensive rebound by N. Cole,,65-65,,
4:23.0,R. Anderson makes 3-pt shot from 23 ft (assist by T. Evans),3,68-65,,
4:16.0,,,68-68,3,T. Ariza makes 3-pt shot from 25 ft (assist by T. Lawson)
4:10.0,Shooting foul by C. Brewer (drawn by T. Evans),,68-68,,
4:10.0,T. Evans makes free throw 1 of 2,1,69-68,,
4:10.0,,,69-68,,C. Capela enters the game for T. Jones
4:10.0,T. Evans makes free throw 2 of 2,1,70-68,,
3:53.0,,,70-71,3,T. Lawson makes 3-pt shot from 22 ft (assist by J. Harden)
3:46.0,Offensive charge foul by T. Evans,,70-71,,
3:46.0,Turnover by T. Evans (offensive foul),,70-71,,
3:37.0,,,70-71,,C. Capela misses 2-pt shot from 1 ft (block by R. Anderson)
3:36.0,Defensive rebound by A. Davis,,70-71,,
3:29.0,R. Anderson misses 3-pt shot from 25 ft,,70-71,,
3:28.0,,,70-71,,Defensive rebound by C. Capela
3:22.0,,,70-73,2,J. Harden makes 2-pt shot from 2 ft
3:20.0,Turnover by R. Anderson (bad pass; steal by C. Brewer),,70-73,,
3:11.0,,,70-75,2,J. Harden makes 2-pt shot from 1 ft
3:11.0,New Orleans full timeout,,70-75,,
3:11.0,,,70-75,,M. Thornton enters the game for J. Harden
3:11.0,I. Smith enters the game for T. Evans,,70-75,,
3:11.0,T. Douglas enters the game for E. Gordon,,70-75,,
3:03.0,N. Cole makes 2-pt shot from 1 ft,2,72-75,,
3:03.0,Shooting foul by T. Lawson (drawn by N. Cole),,72-75,,
3:03.0,N. Cole makes free throw 1 of 1,1,73-75,,
2:51.0,,,73-78,3,C. Brewer makes 3-pt shot from 23 ft (assist by T. Lawson)
2:42.0,Turnover by N. Cole (bad pass; steal by T. Ariza),,73-78,,
2:35.0,,,73-78,,Shooting foul by T. Douglas (drawn by C. Brewer)
2:35.0,,,73-79,1,C. Brewer makes free throw 1 of 2
2:35.0,,,73-80,1,C. Brewer makes free throw 2 of 2
2:24.0,Turnover by T. Douglas (traveling),,73-80,,
2:11.0,,,73-80,,Turnover by T. Lawson (bad pass)
2:11.0,,,73-80,,Violation by Team (delay of game)
1:59.0,N. Cole makes 2-pt shot from 1 ft,2,75-80,,
1:49.0,,,75-80,,Shooting foul by T. Douglas (drawn by C. Brewer)
1:49.0,,,75-81,1,C. Brewer makes free throw 1 of 2
1:49.0,,,75-82,1,C. Brewer makes free throw 2 of 2
1:31.0,Offensive charge foul by I. Smith,,75-82,,
1:31.0,Turnover by I. Smith (offensive foul),,75-82,,
1:14.0,,,75-84,2,M. Thornton makes 2-pt shot from 2 ft
0:57.0,I. Smith makes 2-pt shot from 2 ft,2,77-84,,
0:49.0,Personal foul by T. Douglas (drawn by T. Lawson),,77-84,,
0:49.0,,,77-84,,T. Lawson misses free throw 1 of 2
0:49.0,,,77-84,,Offensive rebound by Team
0:49.0,D. Cunningham enters the game for A. Davis,,77-84,,
0:49.0,,,77-84,,T. Jones enters the game for C. Capela
0:49.0,,,77-84,,T. Lawson misses free throw 2 of 2
0:49.0,Defensive rebound by I. Smith,,77-84,,
0:33.0,I. Smith makes 2-pt shot from 2 ft,2,79-84,,
0:12.0,,,79-84,,C. Brewer misses 2-pt shot from 11 ft
0:11.0,Defensive rebound by R. Anderson,,79-84,,
0:03.0,R. Anderson makes 3-pt shot from 27 ft (assist by I. Smith),3,82-84,,
0:00.0,,,82-84,,C. Brewer misses 3-pt shot from 44 ft
0:00.0,,,82-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,82-84,,J. Harden misses 2-pt shot from 13 ft
11:34.0,Defensive rebound by T. Douglas,,82-84,,
11:19.0,R. Anderson misses 3-pt shot from 25 ft,,82-84,,
11:19.0,,,82-84,,Defensive rebound by M. Thornton
11:05.0,,,82-84,,Turnover by M. Thornton (lost ball; steal by I. Smith)
10:47.0,R. Anderson misses 2-pt shot at rim (block by D. Howard),,82-84,,
10:46.0,Offensive rebound by R. Anderson,,82-84,,
10:46.0,R. Anderson makes 2-pt shot at rim,2,84-84,,
10:28.0,,,84-84,,C. Brewer misses 3-pt shot from 23 ft
10:28.0,,,84-84,,Offensive rebound by M. Thornton
10:26.0,,,84-86,2,M. Thornton makes 2-pt shot from 9 ft
10:12.0,N. Cole misses 3-pt shot from 24 ft,,84-86,,
10:12.0,,,84-86,,Defensive rebound by D. Howard
9:57.0,Loose ball foul by D. Cunningham (drawn by J. Harden),,84-86,,
9:57.0,O. Asik enters the game for D. Cunningham,,84-86,,
9:41.0,,,84-86,,P. Beverley misses 2-pt shot from 18 ft
9:40.0,Defensive rebound by N. Cole,,84-86,,
9:33.0,,,84-86,,Personal foul by C. Brewer (drawn by O. Asik)
9:24.0,N. Cole misses 3-pt shot from 23 ft,,84-86,,
9:23.0,,,84-86,,Defensive rebound by M. Thornton
9:18.0,,,84-86,,Offensive charge foul by M. Thornton
9:18.0,,,84-86,,Turnover by M. Thornton (offensive foul)
9:01.0,I. Smith misses 2-pt shot from 6 ft (block by P. Beverley),,84-86,,
9:00.0,Offensive rebound by I. Smith,,84-86,,
8:56.0,T. Douglas makes 3-pt shot from 24 ft,3,87-86,,
8:42.0,,,87-86,,C. Brewer misses 2-pt shot from 5 ft
8:41.0,,,87-86,,Offensive rebound by D. Howard
8:40.0,,,87-86,,Turnover by D. Howard (lost ball)
8:40.0,New Orleans full timeout,,87-86,,
8:40.0,,,87-86,,T. Lawson enters the game for M. Thornton
8:29.0,Turnover by R. Anderson (traveling),,87-86,,
8:11.0,,,87-88,2,J. Harden makes 2-pt shot from 10 ft
